time,din,dout,alpha,bypass
              210000,     0,    0,    0,0
              230000,     0,    0,    0,0
              250000,     0,    0,    0,0
              270000,     0,    0,    0,0
              290000,     0,    0,    0,0
              310000, 15000,    0,16384,0
              330000, 15000,    0,16384,0
              350000, 15000,    0,16384,0
              370000, 15000, 3750,16384,0
              390000, 15000, 6562,16384,0
              410000, 15000, 8672,16384,0
              430000, 15000,10254,16384,0
              450000, 15000,11440,16384,0
              470000, 15000,12330,16384,0
              490000, 15000,12998,16384,0
              510000, 15000,13498,16384,0
              530000, 15000,13874,16384,0
              550000, 15000,14155,16384,0
              570000, 15000,14366,16384,0
              590000, 15000,14525,16384,0
              610000, 15000,14644,16384,0
              630000, 15000,14733,16384,0
              650000, 15000,14799,16384,0
              670000, 15000,14850,16384,0
              690000, 15000,14887,16384,0
              710000, 15000,14915,16384,0
              730000, 15000,14937,16384,0
              750000, 15000,14952,16384,0
              770000, 15000,14964,16384,0
              790000, 15000,14973,16384,0
              810000, 15000,14980,16384,0
              830000, 15000,14985,16384,0
              850000, 15000,14989,16384,0
              870000, 15000,14992,16384,0
              890000, 15000,14994,16384,0
              910000, 15000,14995,16384,0
              930000, 15000,14996,16384,0
              950000, 15000,14997,16384,0
              970000, 15000,14998,16384,0
              990000, 15000,14999,16384,0
             1010000, 15000,14999,16384,0
             1030000, 15000,14999,16384,0
             1050000, 15000,14999,16384,0
             1070000, 15000,15000,16384,0
             1090000, 15000,15000,16384,0
             1110000, 15000,15000,16384,0
             1130000, 15000,15000,16384,0
             1150000, 15000,15000,16384,0
             1170000, 15000,15000,16384,0
             1190000, 15000,15000,16384,0
             1210000, 15000,15000,16384,0
             1230000, 15000,15000,16384,0
             1250000, 15000,15000,16384,0
             1270000, 15000,15000,16384,0
             1290000, 15000,15000,16384,0
             1310000,     0,15000,16384,0
             1330000,     0,15000,16384,0
             1350000,     0,15000,16384,0
             1370000,     0,11250,16384,0
             1390000,     0, 8437,16384,0
             1410000,     0, 6328,16384,0
             1430000,     0, 4746,16384,0
             1450000,     0, 3559,16384,0
             1470000,     0, 2670,16384,0
             1490000,     0, 2002,16384,0
             1510000,     0, 1502,16384,0
             1530000,     0, 1126,16384,0
             1550000,     0,  845,16384,0
             1570000,     0,  633,16384,0
             1590000,     0,  475,16384,0
             1610000,     0,  356,16384,0
             1630000,     0,  267,16384,0
             1650000,     0,  201,16384,0
             1670000,     0,  150,16384,0
             1690000,     0,  113,16384,0
             1710000,     0,   85,16384,0
             1730000,     0,   63,16384,0
             1750000,     0,   48,16384,0
             1770000,     0,   36,16384,0
             1790000,     0,   27,16384,0
             1810000,     0,   20,16384,0
             1830000,     0,   15,16384,0
             1850000,     0,   11,16384,0
             1870000,     0,    8,16384,0
             1890000,     0,    6,16384,0
             1910000,     0,    5,16384,0
             1930000,     0,    4,16384,0
             1950000,     0,    3,16384,0
             1970000,     0,    2,16384,0
             1990000,     0,    1,16384,0
             2010000,     0,    1,16384,0
             2030000,     0,    1,16384,0
             2050000,     0,    1,16384,0
             2070000,     0,    0,16384,0
